,finger,t,px,py,pz,fx,fy,fz,nx,ny,nz,taux,tauy,tauz,vx,vy,vz
748,FF,22,0.09614493761443273,-0.331485,1.0339011164397043,0.008431677357619752,0.1251120478930215,-0.1722858449589576,0.0,-1.0,0.0,0.0014196119135664745,0.00012509325268526318,0.00016031719063082622,-0.004608280071701082,0.0,-0.005332382315663686
749,MF,22,0.10484205663364256,-0.331485,1.010355212847962,0.032514912141150265,0.773248773326339,-1.1093950539715052,0.0,-1.0,0.0,0.006838468707739045,0.0003088584032640308,0.0004157009615435234,0.08697119019209831,0.0,-0.23545903591742245
750,MF,22,0.10491321915885561,-0.331485,1.0102450043811897,-0.0016111628654595922,0.10854755773212282,-0.15646609904415557,0.0,-1.0,0.0,0.0009594046274209259,-3.242267746281593e-05,-3.23722492815923e-05,0.0007116252521305322,0.0,-0.0011020846677234353
751,MF,22,0.10466215955900603,-0.3314609650893177,1.0102443239257162,0.008864892313122895,0.07743519152573389,-0.11187238011283973,0.0,-1.0,0.0,0.0007140903178737383,7.005159481026803e-05,0.00010507323093290904,-0.002510595998495846,0.00024034910682257937,-6.804554735229118e-06
752,MF,22,0.10465739984835339,-0.331485,1.010617526084875,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-4.759710652640914e-05,-0.00024034910682257937,0.003732021591589252
753,MF,22,0.1030423510401332,-0.331485,1.011053318920181,0.06864207261655003,0.16028506121369485,-0.23014488462609342,0.0,-1.0,0.0,0.0017803372505638374,0.0006913375660264377,0.001012480130955764,-0.01615048808220179,0.0,0.004357928353058149
754,MF,22,0.10398710552779299,-0.331485,1.0108207941773844,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.009447544876597797,0.0,-0.002325247427965582
755,MF,22,0.10305338450784066,-0.33142900887009147,1.010237906968312,0.09216083327076433,0.4227752314982457,-0.5412070388500216,0.0,-1.0,0.0,0.0038468134867394865,0.0006524306925833837,0.0011647244551882294,-0.0093372101995233,0.0005599112990850585,-0.005828872090722914
756,MF,22,0.10466140952732104,-0.331485,1.009495265843408,0.0020911472364229713,0.012066144943899461,-0.017450184771602765,0.0,-1.0,0.0,0.00011092200192965584,4.414759828299756e-06,1.634500571241089e-05,0.016080250194803886,-0.0005599112990850585,-0.007426411249040754
757,MF,22,0.10420440975430499,-0.331485,1.009255797589977,0.04026453665430031,0.1402758577787742,-0.20327188715735212,0.0,-1.0,0.0,0.0013734661832298441,0.00013249254127319527,0.00036349091548154436,-0.0045699977301605355,0.0,-0.0023946825343101885
